name,desc,price
床尚天然原木御凉席,原木纤维，排汗透气，多彩席面...,¥ 99 起
头层水牛皮席三件套,100%厚切头层牛皮，经久耐用，...,¥ 2499 起
8H 水洗棉抗菌空调被,高效抑菌可机洗，柔软透气，婴...,¥ 169 起
8H 抗菌凉感薄被,舒适凉感，透气速干，高效抑菌...,¥ 129 起
床尚老粗布凉席三件套,传统工艺织造，长绒棉纱线，透...,¥ 299
COMO LIVING法国进口水洗亚麻件...,法国纯正亚麻，凉爽亲肤，天然...,¥ 299 起
天然蔺草席三件套,优选天然蔺草，透气吸湿，保持...,¥ 259 起
COMO LIVING冷感超柔凉爽薄被,冷感纤维，冰凉干爽，双面设计...,¥ 99 起
每晚竹语天丝凉感三件套,抑菌透气，凉爽亲肤，耐洗耐磨,¥ 399 起
Bestkids婴儿冰丝凉席,清凉透气 | 柔和亲肤 | 四角弹...,¥ 79
COMO LIVING天竺棉抗菌针织夏凉...,新疆长绒棉，抗菌棉填充，柔和...,¥ 99 起
每晚滑爽天丝印花四件套,奥地利兰精天丝，深海睡眠因子...,¥ 549 起
8H凝胶记忆绵枕,清凉小天地，零压好睡眠,¥ 199
COMO LIVING华夫格纯棉多功能盖...,阿克苏长绒棉，植物染色，经典...,¥ 199 起
每晚竹语天丝四件套,凉爽丝滑，双重透气，天然抑菌...,¥ 399 起
每晚微凉天丝桑蚕丝夏被,双宫茧桑蚕丝，奥地利兰精天丝...,¥ 549 起
8H光双宫茧桑蚕丝被（夏款）,100%光双宫茧桑蚕丝， 古法手作...,¥ 489 起
每晚丝滑贴身夏被,如丝如缎，透气亲肤，自然干爽,¥ 299 起
8H可水洗凉感软席,柔软席面，凉而不冰，高弹支撑...,¥ 129 起
8H七分区天然乳胶床垫R1,泰国纯天然乳胶，新一代发泡工...,¥ 1099 起
8H乳胶弹簧静音床垫M3,20厘米厚度，独立袋装弹簧支撑...,¥ 1599 起
8H天然乳胶床垫M1,天然乳胶，0胶水环保材质，医用...,¥ 599 起
8H乳胶多线径独立筒弹簧床垫T3,精准人体工学，多线径独立筒弹...,¥ 1999 起
8H天然乳胶床垫M2,17厘米厚度，唯美外观，天然乳...,¥ 1299 起
8H双面双温感乳胶弹簧床垫M5,双面双睡感，夏季凉感，冬季温...,¥ 1999 起
宇宙沙盘控温抗菌床垫保护垫,冷热控温 高效抗菌 防污洁净 方...,¥ 199 起
每晚抗菌防螨床垫保护套,床垫拍档，抗菌防螨，亲肤透气...,¥ 119
8H防螨抗菌青春床垫,抗菌防螨，亲肤透气，一垫多用...,¥ 499 起
